,date,VOL,CIKS,SHROUT,PRC,VOLP,ACCESSION NUMBER,base_vol,base_volP,T0,T1,T3,T5,T20,T60,T0P,T1P,T3P,T5P,T20P,T60P,T0PP,T1PP,T3PP,T5PP,T20PP,T60PP,d4,abnormal,Year,Unnamed: 0,mkt_cap, ,PB_ratios
876,20090226,6755600.0,0000073309,313950.0,35.13,21.518076126771778,0001193125-09-038676,7629950.0,24.287480340889758,6755600.0,9019200.0,9514800.0,9985933.333333334,8300533.333333333,6161066.666666667,21.518076126771778,28.720822851319937,30.299016017577937,31.799297307051337,26.4322941544863,19.605621850967907,-0.1140259992081387,0.18253612347618958,0.24751582265070607,0.3092876190007608,0.08830944105739905,-0.19276839030681986,10315400.0,0.35196167733733513,2009,NUE US,14686.044410705566,,1.99
877,20120228,2854100.0,0000073309,316704.0,44.03,9.011884914620593,0001193125-12-083972,3121933.3333333335,9.858037674003027,2854100.0,2250300.0,1831500.0,2960966.6666666665,2268000.0,3507900.0,9.011884914620593,7.101247128322941,5.7796445431824495,9.3438901651898,7.157102824972857,11.064569343203829,-0.08583379242035695,-0.2796490170604759,-0.4137124715576863,-0.0521551576303166,-0.27398301146209847,0.12239065309950965,2240300.0,-0.28239979499882556,2012,NUE US,13709.273223876951,,1.79
878,20140228,1181000.0,0000073309,318366.0,50.24,3.709566976373105,0001193125-14-077349,1899958.3333333333,5.970765350994439,1181000.0,1813946.0,1187394.0,1957462.3333333333,1614669.6666666667,1211255.6666666667,3.709566976373105,5.697675002983987,3.7296507792917586,6.14846539308008,5.071740282149057,3.803478197157153,-0.3787116461116209,-0.04573791330871322,-0.3753479562430668,0.029761685753744316,-0.1505711606462056,-0.3629831397538209,1760411.5,-0.07344731244106227,2014,NUE US,15646.947006225586,,2.01
879,20150227,2135940.0,0000073309,319047.0,47.03,6.694750303246857,0001193125-15-068895,2383527.5166666666,7.47198702914031,2135940.0,1680628.0,2660836.0,2555902.0,2401437.0,1481719.3333333333,6.694750303246857,5.267650220813861,8.339949913335653,8.01105166323457,7.526906693998065,4.642981513338828,-0.10402008500045244,-0.29501346826883734,0.11616225788539766,0.072144749715429,0.007350074972503446,-0.3786148858086245,2053203.75,-0.1385860932407528,2015,NUE US,12880.480416870116,,1.71
880,20160226,1851299.0,0000073309,319615.0,39.96,5.79227820972107,0001193125-16-481119,2814170.6166666667,8.804893103921717,1851299.0,2816925.0,2974256.0,3461689.3333333335,2383960.6666666665,1943897.3333333333,5.79227820972107,8.859898534633784,9.354741917525578,10.887835583750862,7.498122817336128,6.114326754213518,-0.34215235308862774,0.006247143498830997,0.06244809642935436,0.23656646994401304,-0.14841410011026154,-0.30557626514623054,2982929.5,0.05996753797864079,2016,NUE US,18956.2372265625,,2.41
881,20170228,2325099.0,0000073309,318848.0,62.57,7.292186245483742,0001193125-17-062124,3187630.216666667,10.008934080950947,2325099.0,3238951.0,2353727.0,2449972.3333333335,2847636.0,3556838.0,7.292186245483742,10.15829172521076,7.381971974106785,7.68382531279272,8.931014150943396,11.150102195638816,-0.2714322837471508,0.014922432603894366,-0.26246172525442146,-0.23230333513569495,-0.10769577672202418,0.11401494958986146,2632458.75,-0.17416432551176356,2017,NUE US,20213.14213292,,2.31
882,20180228,2602570.0,0000073309,317937.0,65.4,8.185804105844868,0001193125-18-064018,3204162.9833333334,10.077073460018196,2602570.0,5096255.0,3345146.0,3395122.0,2321588.6666666665,2177773.0,8.185804105844868,16.02913470278703,10.521411474600313,10.678599848397639,7.3020399219551875,6.846383582056707,-0.1876804175018799,0.5906537514472069,0.04409395409739472,0.05969256756597624,-0.2753808979435581,-0.32059802786787023,3853365.0,0.20261204565545948,2018,NUE US,16264.844897400002,,1.62
883,20190228,2427965.0,0000073309,305591.0,60.57,7.945145635833516,0001193125-19-057744,2635770.033333333,8.455918453788625,2427965.0,2004759.0,1821116.0,2086536.6666666667,1940234.6666666667,2131125.0,7.945145635833516,6.5602684634037,5.959324718332674,6.827873421228592,6.349122410891245,6.992201085351691,-0.06040417971701943,-0.22418025915748868,-0.29524808559824356,-0.19253319925650383,-0.2491504683271209,-0.1730997497712533,1927404.75,-0.2687507917515464,2019,NUE US,17064.95522676,,1.64
884,20200228,4665892.0,0000073309,301812.0,41.35,15.45959736524724,0001564590-20-007794,2059658.0,6.800947535955552,4665892.0,4039917.0,2302563.0,2726043.3333333335,3540915.3333333335,1535288.6666666667,15.45959736524724,13.385541330364598,7.629130054470995,9.03225628316082,11.732188691414967,5.098340168584412,1.273153451561676,0.9681877061390818,0.12177457834176353,0.32808792236797674,0.7250814874528454,-0.25034855192893635,3130079.25,0.5197082476799546,2020,NUE US,16059.600052650001,,1.49
885,20220228,4076522.0,0000073309,272000.0,131.62,14.987213235294117,0001564590-22-007679,3425674.783333333,12.132396857362613,4076522.0,3765012.0,3385280.0,3264264.6666666665,3307644.3333333335,2513357.6666666665,14.987213235294117,13.841955882352941,12.445882352941176,12.000973039215687,12.160457107843136,9.351019486889477,0.23530522546326393,0.1409085974592789,0.02583871095416094,-0.010832469436339842,0.002312836516182282,-0.22925209281999717,3406469.25,-0.005606350441312288,2022,NUE US,33815.0264151,,1.81
